ZipCode,Latitude,Longitude,NumberofBuildings,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions
98101.0,47.6122,-122.33799,1.0,88434.0,22425.8,11667.6,60.0,7226362.5,249.98
98101.0,47.61317,-122.33393,1.0,83880.0,15064.0,4622.0,61.0,8387933.0,295.86
98101.0,47.61393,-122.3381,1.0,756493.0,158362.8,65150.0,43.0,72587024.0,2089.28
98101.0,47.61412,-122.33664,1.0,61320.0,7468.2,4922.0,56.0,6794584.0,286.43
98121.0,47.61375,-122.34047,1.0,123445.0,68009.0,0.0,75.0,14172606.0,505.01
98101.0,47.61623,-122.33657,1.0,88830.0,28602.8,7662.6,44.0,12086616.0,301.81
98101.0,47.6139,-122.33283,1.0,81352.0,40304.6,6844.4,27.0,5758795.0,176.14
98101.0,47.61327,-122.33136,1.0,102761.0,12235.6,4942.4,80.0,6298131.5,221.51
98104.0,47.60294,-122.33263,1.0,163984.0,80892.4,17030.2,43.0,13723820.0,392.16
98101.0,47.60695,-122.33414,1.0,133884.0,64751.8,12200.2,30.0,16016644.0,691.26
98101.0,47.60713,-122.33323,1.0,336640.0,116489.6,69060.2,36.0,26941110.0,740.97
98104.0,47.60699,-122.33346,1.0,65009.0,45699.2,5035.6,48.0,6596057.5,328.23
98101.0,47.60809,-122.33212,1.0,295511.0,57600.0,28783.779688000002,58.0,22325364.0,648.62
98101.0,47.60755,-122.33244,1.0,67390.0,25200.0,9023.860009799999,35.0,10750010.0,511.39
98154.0,47.60649,-122.33297,1.0,364913.0,49000.0,1074.0,60.4,18588860.0,181.38
98104.0,47.60546,-122.33279,1.0,90000.0,40000.0,0.0,53.2,9956396.0,433.86
98104.0,47.60681,-122.33078,1.0,348329.0,85000.0,16764.0,31.0,33556756.0,802.89
98104.0,47.60515,-122.33159,1.0,16442.0,15505.0,9741.0,50.4,7606084.5,273.02
98104.0,47.60376,-122.33194,1.0,104352.0,30012.4,2493.0600098,39.0,10154608.0,349.32
98104.0,47.60265,-122.33051,1.0,537150.0,210833.0,61565.0,76.0,44984468.0,1265.29
98104.0,47.60378,-122.32842,1.0,385274.0,140442.0,46009.0,85.0,47859812.0,1699.45
98118.0,47.54576,-122.26853,1.0,58916.0,7321.0,3828.4,95.0,1539478.5,38.53
98105.0,47.65959,-122.31755,1.0,58006.0,30586.0,12515.2,84.0,3663534.5,90.01
98121.0,47.61816,-122.33629,1.0,125000.0,77993.6,7940.4,74.6,11343686.0,388.04
98101.0,47.615,-122.33081,1.0,67224.0,3791.8,2742.8,81.4,1310236.625,9.13
98101.0,47.61301,-122.32929,1.0,112676.0,42000.0,4500.0,90.6,5328051.5,256.57
98101.0,47.61784,-122.32966,1.0,128909.0,81038.8,5520.8,57.0,11061916.0,328.63
98121.0,47.61558,-122.34186,1.0,47994.0,35550.6,9916.0,57.0,4456714.5,128.44
98125.0,47.70994,-122.29301,1.0,164229.0,7599.2,5882.8,75.0,6779173.0,270.18
