ZipCode,Latitude,Longitude,NumberofBuildings,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
98101.0,47.6122,-122.33799,1.0,88434.0,23998.0,6836.6,60.0,81.69999695,7226362.5,7456910.0,2003882.0,1276453.0,249.98,2.83
98101.0,47.61317,-122.33393,1.0,83880.0,15064.0,4622.0,61.0,94.80000305,8387933.0,8664479.0,0.0,5145082.0,295.86,2.86
98101.0,47.61393,-122.3381,1.0,756493.0,128589.8,65064.2,43.0,96.0,72587024.0,73937112.0,21566554.0,1493800.0,2089.28,2.19
98101.0,47.61412,-122.33664,1.0,61320.0,23998.0,8910.0,56.0,110.8000031,6794584.0,6946800.5,2214446.25,1811213.0,286.43,4.67
98121.0,47.61375,-122.34047,1.0,123445.0,68009.0,0.0,75.0,114.8000031,14172606.0,14656503.0,0.0,8803998.0,505.01,2.88
98101.0,47.61623,-122.33657,1.0,88830.0,13192.8,11942.440039,59.6,136.1000061,12086616.0,12581712.0,0.0,4715182.0,301.81,3.1
98101.0,47.6139,-122.33283,1.0,81352.0,14857.4,2920.8,27.0,70.80000305,5758795.0,6062767.5,0.0,2947580.0,176.14,2.12
98101.0,47.61327,-122.33136,1.0,102761.0,13824.8,7881.8,74.2,61.29999924,6298131.5,7067881.5,2276286.5,385189.0,221.51,2.16
98104.0,47.60294,-122.33263,1.0,163984.0,3308.4,10615.2,43.0,83.69999695,13723820.0,14194054.0,0.0,6425900.0,392.16,2.39
98101.0,47.60695,-122.33414,1.0,133884.0,26514.6,7529.2,30.0,119.5999985,16016644.0,16646930.0,5237165.5,4591850.0,691.26,4.51
98101.0,47.60713,-122.33323,1.0,336640.0,150847.0,70986.4,36.0,80.0,26941110.0,27070114.0,5999360.5,2858700.0,740.97,2.22
98104.0,47.60699,-122.33346,1.0,65009.0,4901.0,3368.0,48.0,101.5,6596057.5,6358719.5,1656352.5,3596705.0,328.23,5.05
98101.0,47.60809,-122.33212,1.0,295511.0,57600.0,52695.379688,58.0,75.5,22325364.0,22524948.0,4337738.5,4083440.0,648.62,2.05
98101.0,47.60755,-122.33244,1.0,67390.0,25200.0,7771.8,35.0,159.5,10750010.0,11179203.0,4870847.5,2046793.0,511.39,5.55
98154.0,47.60649,-122.33297,1.0,364913.0,49000.0,1074.0,65.8,50.79999924,18588860.0,18706912.0,737559.5,0.0,181.38,0.44
98104.0,47.60546,-122.33279,1.0,90000.0,40000.0,0.0,52.0,76.59999847,9956396.0,10192124.0,4592347.5,910180.0,433.86,4.18
98104.0,47.60681,-122.33078,1.0,348329.0,85000.0,29306.2,31.0,96.30000305,33556756.0,34351920.0,0.0,12331475.0,802.89,1.93
